VB:"hoover" VBZ:"hoovers" VBG:"hoovering" VBD:"hoovered" VBN:"hoovered"
VB:"latinize" VBZ:"latinizes" VBG:"latinizing" VBD:"latinized" VBN:"latinized"
VB:"roneo" VBZ:"roneos" VBG:"roneoing" VBD:"roneoed" VBN:"roneoed"
VB:"x-ray" VBZ:"x-rays" VBG:"x-raying" VBD:"x-rayed" VBN:"x-rayed"
VB:"xerox" VBZ:"xeroxes" VBG:"xeroxing" VBD:"xeroxed" VBN:"xeroxed"
VB:"abandon" VBZ:"abandons" VBG:"abandoning" VBD:"abandoned" VBN:"abandoned"
VB:"abase" VBZ:"abases" VBG:"abasing" VBD:"abased" VBN:"abased"
VB:"abash" VBZ:"abashes" VBG:"abashing" VBD:"abashed" VBN:"abashed"
VB:"abate" VBZ:"abates" VBG:"abating" VBD:"abated" VBN:"abated"
VB:"abbreviate" VBZ:"abbreviates" VBG:"abbreviating" VBD:"abbreviated" VBN:"abbreviated"
VB:"abdicate" VBZ:"abdicates" VBG:"abdicating" VBD:"abdicated" VBN:"abdicated"
VB:"abduct" VBZ:"abducts" VBG:"abducting" VBD:"abducted" VBN:"abducted"
VB:"abet" VBZ:"abets" VBG:"abetting" VBD:"abetted" VBN:"abetted"
VB:"abhor" VBZ:"abhors" VBG:"abhorring" VBD:"abhorred" VBN:"abhorred"
VB:"abide" VBZ:"abides" VBG:"abiding" VBD:"abided" VBN:"abided"
VB:"abjure" VBZ:"abjures" VBG:"abjuring" VBD:"abjured" VBN:"abjured"
VB:"abolish" VBZ:"abolishes" VBG:"abolishing" VBD:"abolished" VBN:"abolished"
VB:"abominate" VBZ:"abominates" VBG:"abominating" VBD:"abominated" VBN:"abominated"
VB:"abort" VBZ:"aborts" VBG:"aborting" VBD:"aborted" VBN:"aborted"
VB:"abound" VBZ:"abounds" VBG:"abounding" VBD:"abounded" VBN:"abounded"
VB:"about-face" VBZ:"about-faces" VBG:"about-facing" VBD:"about-faced" VBN:"about-faced"
VB:"abrade" VBZ:"abrades" VBG:"abrading" VBD:"abraded" VBN:"abraded"
VB:"abridge" VBZ:"abridges" VBG:"abridging" VBD:"abridged" VBN:"abridged"
VB:"abrogate" VBZ:"abrogates" VBG:"abrogating" VBD:"abrogated" VBN:"abrogated"
VB:"abscond" VBZ:"absconds" VBG:"absconding" VBD:"absconded" VBN:"absconded"
VB:"absent" VBZ:"absents" VBG:"absenting" VBD:"absented" VBN:"absented"
VB:"absolve" VBZ:"absolves" VBG:"absolving" VBD:"absolved" VBN:"absolved"
VB:"absorb" VBZ:"absorbs" VBG:"absorbing" VBD:"absorbed" VBN:"absorbed"
VB:"abstain" VBZ:"abstains" VBG:"abstaining" VBD:"abstained" VBN:"abstained"
VB:"abstract" VBZ:"abstracts" VBG:"abstracting" VBD:"abstracted" VBN:"abstracted"
VB:"abuse" VBZ:"abuses" VBG:"abusing" VBD:"abused" VBN:"abused"
VB:"abut" VBZ:"abuts" VBG:"abutting" VBD:"abutted" VBN:"abutted"
VB:"accede" VBZ:"accedes" VBG:"acceding" VBD:"acceded" VBN:"acceded"
VB:"accelerate" VBZ:"accelerates" VBG:"accelerating" VBD:"accelerated" VBN:"accelerated"
VB:"accent" VBZ:"accents" VBG:"accenting" VBD:"accented" VBN:"accented"
VB:"accentuate" VBZ:"accentuates" VBG:"accentuating" VBD:"accentuated" VBN:"accentuated"
VB:"accept" VBZ:"accepts" VBG:"accepting" VBD:"accepted" VBN:"accepted"
VB:"acclaim" VBZ:"acclaims" VBG:"acclaiming" VBD:"acclaimed" VBN:"acclaimed"
VB:"acclimate" VBZ:"acclimates" VBG:"acclimating" VBD:"acclimated" VBN:"acclimated"
VB:"acclimatize" VBZ:"acclimatizes" VBG:"acclimatizing" VBD:"acclimatized" VBN:"acclimatized"
VB:"accommodate" VBZ:"accommodates" VBG:"accommodating" VBD:"accommodated" VBN:"accommodated"
VB:"accompany" VBZ:"accompanies" VBG:"accompanying" VBD:"accompanied" VBN:"accompanied"
VB:"accomplish" VBZ:"accomplishes" VBG:"accomplishing" VBD:"accomplished" VBN:"accomplished"
VB:"accord" VBZ:"accords" VBG:"according" VBD:"accorded" VBN:"accorded"
VB:"accost" VBZ:"accosts" VBG:"accosting" VBD:"accosted" VBN:"accosted"
VB:"account" VBZ:"accounts" VBG:"accounting" VBD:"accounted" VBN:"accounted"
VB:"accredit" VBZ:"accredits" VBG:"accrediting" VBD:"accredited" VBN:"accredited"
VB:"accrue" VBZ:"accrues" VBG:"accruing" VBD:"accrued" VBN:"accrued"
VB:"accumulate" VBZ:"accumulates" VBG:"accumulating" VBD:"accumulated" VBN:"accumulated"
VB:"accuse" VBZ:"accuses" VBG:"accusing" VBD:"accused" VBN:"accused"
VB:"accustom" VBZ:"accustoms" VBG:"accustoming" VBD:"accustomed" VBN:"accustomed"
VB:"ache" VBZ:"aches" VBG:"aching" VBD:"ached" VBN:"ached"
VB:"achieve" VBZ:"achieves" VBG:"achieving" VBD:"achieved" VBN:"achieved"
VB:"acidify" VBZ:"acidifies" VBG:"acidifying" VBD:"acidified" VBN:"acidified"
VB:"acknowledge" VBZ:"acknowledges" VBG:"acknowledging" VBD:"acknowledged" VBN:"acknowledged"
VB:"acquaint" VBZ:"acquaints" VBG:"acquainting" VBD:"acquainted" VBN:"acquainted"
VB:"acquiesce" VBZ:"acquiesces" VBG:"acquiescing" VBD:"acquiesced" VBN:"acquiesced"
VB:"acquire" VBZ:"acquires" VBG:"acquiring" VBD:"acquired" VBN:"acquired"
VB:"acquit" VBZ:"acquits" VBG:"acquitting" VBD:"acquitted" VBN:"acquitted"
VB:"act" VBZ:"acts" VBG:"acting" VBD:"acted" VBN:"acted"
VB:"activate" VBZ:"activates" VBG:"activating" VBD:"activated" VBN:"activated"
VB:"actuate" VBZ:"actuates" VBG:"actuating" VBD:"actuated" VBN:"actuated"
VB:"ad-lib" VBZ:"ad-libs" VBG:"ad-libbing" VBD:"ad-libbed" VBN:"ad-libbed"
VB:"adapt" VBZ:"adapts" VBG:"adapting" VBD:"adapted" VBN:"adapted"
VB:"add" VBZ:"adds" VBG:"adding" VBD:"added" VBN:"added"
VB:"addict" VBZ:"addicts" VBG:"addicting" VBD:"addicted" VBN:"addicted"
VB:"addle" VBZ:"addles" VBG:"addling" VBD:"addled" VBN:"addled"
VB:"address" VBZ:"addresses" VBG:"addressing" VBD:"addressed" VBN:"addressed"
VB:"adduce" VBZ:"adduces" VBG:"adducing" VBD:"adduced" VBN:"adduced"
VB:"adhere" VBZ:"adheres" VBG:"adhering" VBD:"adhered" VBN:"adhered"
VB:"adjoin" VBZ:"adjoins" VBG:"adjoining" VBD:"adjoined" VBN:"adjoined"
VB:"adjourn" VBZ:"adjourns" VBG:"adjourning" VBD:"adjourned" VBN:"adjourned"
VB:"adjudge" VBZ:"adjudges" VBG:"adjudging" VBD:"adjudged" VBN:"adjudged"
VB:"adjudicate" VBZ:"adjudicates" VBG:"adjudicating" VBD:"adjudicated" VBN:"adjudicated"
VB:"adjure" VBZ:"adjures" VBG:"adjuring" VBD:"adjured" VBN:"adjured"
VB:"adjust" VBZ:"adjusts" VBG:"adjusting" VBD:"adjusted" VBN:"adjusted"
VB:"administer" VBZ:"administers" VBG:"administering" VBD:"administered" VBN:"administered"
VB:"admire" VBZ:"admires" VBG:"admiring" VBD:"admired" VBN:"admired"
VB:"admit" VBZ:"admits" VBG:"admitting" VBD:"admitted" VBN:"admitted"
VB:"admix" VBZ:"admixes" VBG:"admixing" VBD:"admixed" VBN:"admixed"
VB:"admonish" VBZ:"admonishes" VBG:"admonishing" VBD:"admonished" VBN:"admonished"
VB:"adopt" VBZ:"adopts" VBG:"adopting" VBD:"adopted" VBN:"adopted"
VB:"adore" VBZ:"adores" VBG:"adoring" VBD:"adored" VBN:"adored"
VB:"adorn" VBZ:"adorns" VBG:"adorning" VBD:"adorned" VBN:"adorned"
VB:"adulterate" VBZ:"adulterates" VBG:"adulterating" VBD:"adulterated" VBN:"adulterated"
VB:"adumbrate" VBZ:"adumbrates" VBG:"adumbrating" VBD:"adumbrated" VBN:"adumbrated"
VB:"advance" VBZ:"advances" VBG:"advancing" VBD:"advanced" VBN:"advanced"
VB:"advantage" VBZ:"advantages" VBG:"advantaging" VBD:"advantaged" VBN:"advantaged"
VB:"adventure" VBZ:"adventures" VBG:"adventuring" VBD:"adventured" VBN:"adventured"
VB:"advert" VBZ:"adverts" VBG:"adverting" VBD:"adverted" VBN:"adverted"
VB:"advertise" VBZ:"advertises" VBG:"advertising" VBD:"advertised" VBN:"advertised"
VB:"advise" VBZ:"advises" VBG:"advising" VBD:"advised" VBN:"advised"
VB:"advocate" VBZ:"advocates" VBG:"advocating" VBD:"advocated" VBN:"advocated"
VB:"aerate" VBZ:"aerates" VBG:"aerating" VBD:"aerated" VBN:"aerated"
VB:"affect" VBZ:"affects" VBG:"affecting" VBD:"affected" VBN:"affected"
VB:"affiance" VBZ:"affiances" VBG:"affiancing" VBD:"affianced" VBN:"affianced"
VB:"affiliate" VBZ:"affiliates" VBG:"affiliating" VBD:"affiliated" VBN:"affiliated"
VB:"affirm" VBZ:"affirms" VBG:"affirming" VBD:"affirmed" VBN:"affirmed"
VB:"affix" VBZ:"affixes" VBG:"affixing" VBD:"affixed" VBN:"affixed"
VB:"afflict" VBZ:"afflicts" VBG:"afflicting" VBD:"afflicted" VBN:"afflicted"
VB:"afford" VBZ:"affords" VBG:"affording" VBD:"afforded" VBN:"afforded"
VB:"afforest" VBZ:"afforests" VBG:"afforesting" VBD:"afforested" VBN:"afforested"
VB:"affranchise" VBZ:"affranchises" VBG:"affranchising" VBD:"affranchised" VBN:"affranchised"
VB:"affront" VBZ:"affronts" VBG:"affronting" VBD:"affronted" VBN:"affronted"
VB:"age" VBZ:"ages" VBG:"aging" VBD:"aged" VBN:"aged"
VB:"agglomerate" VBZ:"agglomerates" VBG:"agglomerating" VBD:"agglomerated" VBN:"agglomerated"
VB:"agglutinate" VBZ:"agglutinates" VBG:"agglutinating" VBD:"agglutinated" VBN:"agglutinated"
VB:"aggrandize" VBZ:"aggrandizes" VBG:"aggrandizing" VBD:"aggrandized" VBN:"aggrandized"
